Model,Type,MAE (km),RMSE (km),R²,Train Time (s),MAE_X,MAE_Y,MAE_Z
ODE-KAN-Fusion,★ Novel,0.16227541863918304,0.3450408561847352,0.8974602222442627,24.82384729385376,0.47155603766441345,0.010395015589892864,0.004875198472291231
HMT,★ Novel,0.1716427206993103,0.3512383662194366,0.9115754961967468,27.64162516593933,0.5007100701332092,0.010219722054898739,0.003998290281742811
BiLSTM,Baseline,0.1990085244178772,0.43205572683244764,0.8950473666191101,0.0,0.5812357068061829,0.010635252110660076,0.005154972430318594
XGBOOST,Baseline,0.24283795058727264,0.5447012615380439,0.9046521782875061,106.57247805595398,0.7144151329994202,0.009411380626261234,0.004687751177698374
RIDGE,Baseline,0.28403764963150024,0.6247773012131773,0.8767164349555969,3.517971992492676,0.836545467376709,0.009801953099668026,0.0057674297131598
LSTM,Baseline,0.38468077778816223,0.8784290968236209,0.6648597717285156,1622.595257282257,1.1252092123031616,0.021254898980259895,0.007578517775982618
CNN-LSTM,Baseline,0.3920392096042633,0.911729884794701,0.750087559223175,0.0,1.1539288759231567,0.01550005842000246,0.006688786670565605
Transformer,Baseline,0.41669416427612305,0.9186807346833228,0.6728745102882385,0.0,1.222396969795227,0.019146863371133804,0.008539766073226929
GRU,Baseline,0.4382622241973877,0.9683144113089299,0.7437660098075867,0.0,1.29276704788208,0.014822191558778286,0.007198018953204155
RKHS-Spectral-GRU,★ Novel,0.613050639629364,1.2477552762799915,0.03527830168604851,75.30152678489685,1.7908679246902466,0.03491104394197464,0.013372893445193768
